,text
7370,I got good credit. So my bitch credit gotta match mine
9495, you are not a cat.you are a pussy! black bored kid kills a cop by starting a fire.WHERE IS THE OUTRAGE YOU PHONY?!?!?!? 
4762,My new bitch eat a dick like a bratwurst
4885,CLEARY diz princess iz a bad bitch. 
6307, is my main bitch.
2973, promotion that's hoe ya do it 
6729," She my Lowkey bitch, the one I ride Lowkey with."
3044," boy talk about a,special kind of stupid far left is a under statement down retarded"
3927, Straight off the bench #ned #WorldCup 
1662,"When they bitch about ""carbon emissions"" tell them to stop breathing because exhaling adds carbon dioxide to the atmosphere..."
6064,Just might fuck yo main bitch. Dats just how I feel &# ; 
7632, I'm sorry ya woman shouldn't be helping you out financially unless that's ya wife these hoes dumb
1713,It ain't April Fool's yet.. &# ; Jay Z trash&# ;
3426, lol man bitch shut the fuck upppppp
2128, if he fuck yo bitch u should be happy like damn boosie fucked my bitch lmao
6243," If she thick and you get her pregnant, she gonna become fat, and you gonna be the nigga with the big bitch"
3470,"i was never mean to you after we broke up ,you keep making me seem like an ass. i never went off to party and fuck bitches"
529,Average is basic and basic is trash &# ;&# ;
7658, he was walking &amp; little birds pitch by his doorstep. Singing sweet songs of melodies pure &amp; true. Saying ...
16052, now I'm chewy high with a hard ass dick. Ooh there goes my pager could it be a trick bitch?
447, Funny how Rick Scott accuses Charlie Crist of changing his positions on everything. Rick's positions are dictated by corp&# ;
2722,some rich pussy with some bullshit rich problem. (idea for an independent film)
2263,Any bitch who show up Friday looking like the bitch from the ring I'm punching straight in the face.
8005, this bitch got the itunes terms and conditions tattooed on her 
2245,I knows y'all white folk only be playin wit me. I colored and I knows my place
15148, They say crazy girls got the best pussy&# ;
3231, You can definitely tell who's a whore by what bitches wear when it's slightly warm out.. &# ;&# ;&# ;
176,Idc I eat the pussy &# ;
2398,These bitches dont want no boyfriend ... They want a pimp
2843, you don't know what your talking about retarded faggot
3363,I ain't got no hoes&# ;&# ;
3164,I'm a dope ass nigga n these bitches OD
16420, No one told me The Military is the worst place to be a bitch trying to get all emotional ontop babe
8810, Keshawn Martin is soooooooooo fucking trash!!!
15645,..........does nobody sell #orange flavored and colored #bubblegum? IS THAT YOUR FUCKIN' PROBLEM? #Giants? Fuck it. I'm going # Pack now
805,"&# ; you like ' , you needs to&# ;.... . You a hoe. . i'm ' (breaking ) .suck my dick."
8915,Oreo Ice Cream Sandwich 
16114,#faggots KILLED #jesuschrist&gt; HELLO!!!!!!!!!!!!!!!!!!!!!!!!! But whatever. Go ahead. #gaymarriage yourself into #Pharaoh's pockets&gt;
16110," ""I said thin mints bitch"". "
4305,We can't trust these hoes fam 
4952,CAIR Publishes a Hit List for Jihadis via If you are a red blooded #American you may be on the list..
1599,We in this bitch!!! 
4276,my NECK! my BACK! Lick my pussy and my crack!
6934,Rihanna just slaying any bitch &# ;&# ;
1936,Dat bitch a Thot
6515,y'all hoes avoid schemes
1407, All the main bitches are getting kicked to the curve lol
6214, WTF did this bitch do? &# ;&# ; 
732,"happy birthday to my main bitch, my ride or die, my girlfriend&# ; love you so much "
3694,"""when guys say ""Latinas &gt;"" they mean the Kim Kardashian looking girls not you bitches that shaped like a mini fridge &amp; smell like tortillas"""
15200,My manager is retarded bruh always asking siri some spellings. &# ;&# ;&# ; ..this nigga is dum af doe
6680, johns.... be honest.... you got hoes in different area codes
2860," I like them dark, light, Carmel, white, red, tan, yellow, blue, purple, green. It doesnt matter what color they are"
314,None of my bitches can stay over
1806, &# ; rt if u remember when steve from 'blue clues' left us with that other bitch ass nigga joe 
4974,trash both ways lol Bitch Killed Herself....Look Like Bill Maher With Makeup on 
2549,Esp when bitches are after my leftover always hyping niggas. I made him pick another ugly nigga to put on top.
7949, if your going to talk shit at least back it up and fight bitch ass nigga i swear u niggas from are fake pussy boy
2587,"That bitch want my numba, she gotta.fuck my bruda "
1099, stank ass hoes haha
39,&# ;&# ;&# ; I hate ya bitch ass
8754,I'm bout to start singing and shit lol hoes going crazy or this nigga August
2910,' R.I.P Deshawn &# ; . I don't know him but I know a darkskin niggah in the hood named Deshawn getting shot tonight .
2197,Playing games and wrestling are the only ways I bind with my brothers. That and the sex talk &amp; providing condoms. No raw dogging these hoes
3283, of course u would you PC lemming.one just says the word nigger.the other has all the potential to reek havoc on society
4078, this like a retarded wu-tang clan
2836, Cheating on a good woman is like eating out of the trash instead going out for steak. #truth
8083,&# ; You goofy Only goofy niggas simp over chicks with community pussy..&# ; Who are you?
1729,"&# ; ion wanna hear it, then hoes faker than Momma Dee's teeth&# ;&# ;&# ;"
66, when my girl don't text me back I just tweet. I don't text other bitches Bc I don't want her texting other niggas when I d&# ;
1490, Bruh.. Don't do this RT &# ; Females swear their best friend is the baddest bitch in the world!&# ;
136,Iont care about where a n%a been where a bitch goin or the kinda shit they been thru!!
9558, nah that shit gets me heated. I have the smartest mouth and know what I'm doing and get called a retard. I'm done playing games
417,This subway worker is being a major bitch to a soldier. come on show some respect
16234," Hoes be like ""go talk to one of your hoes"".... I be like ""you are one of my hoes"""
4864, Dumb Haitian fake black faggots. Go to Haiti and neck yourself.
1218,Already scratched off mines Paying for pussy still on my bucket list
1482,In two months tho hoe
2887,Don't let the hoes lie to you!! 
6570,Kicking niccas Tf outcha mentions like 
8175, a pussy in ur mouth is a really good stress reliever doctors recommend
8046,Every pussy the same but I feel like I ain't get enough
1488,"That hoe out there, Fat Trel said it best."
8776,I want to be as independent as soon as i can. I don't like depending on people. Makes me feel like a bitch.
924, don't let idiots that can't even spell retarded get you down.
15677, Charlie Sheen will star in a new sitcom as an anger management therapist. So what's next? Casey Anthony as the owner of ...
3768,On GC I l v dis bitch 
16023, These th grade hoes ain't loyal 
2498,"my girlfriend, I kid you not, eats bacon without dipping it into the tub of creamy butter I've laid out. I'm like ""what are you, a bird?"""
9197,Kae &amp; Chris coming for yall bitches as a couple &# ;&# ;&# ;
281," oh yeah and fuck the Lakers too, bitch boi!"
1689,RT !! I will never EVER EVER give a nigga my all unless I know for a fact he doing the same . yeen finna play me bitch &# ;&# ;
1206, dat bitch a tampon
16200, I'm not yellow I'm sorry
9,"fuck ray rice ,someone crack that bitch"
1039,Never seen a tinted yellow tongue before. She just ate a lemon jolly rancher?
2853, or jim crow laws segregation lynching laws... anti womans suffrage laws... amazing how everyone doesnt want to bring that up
3490,"My dad talking about my dogs fetching skills ""I seen that nigga do mad shit, air bud my ass, air pussy"" &# ;"
2829," RECAP: In epic storybook ending, Derek Jeter closes his last game in Bronx with a #walkoff. "
9303, what a ratchet ass bitch bet she felt dumb&# ;&# ;
3875,"I broke baby outta his thug stage n turned him into a pussy &# ; , it was hard but I did it &# ;&# ; now he show more feelings than a lit bit"
6204,Tia chepa... Uhh Noo bitch she is your Tia Irma &# ; aghh he's so annoying
2197,"I'm from Long Beach California... so people automatically think I'ma badass, or a bitch.... hahha"
3230,Weekend is here. What an amazing week this has been. Let's use this extended weekend to celebrate our successes my fellow queer folk.
1495,lock that bitch too&# ; keep the heat out SHUT THE FRONT DOOR!
1211,Meek do some nut shit one time he a bitch I guess y'all forgot all the hoe shit Wale did on twitter oh ok &# ;&# ;&# ;
3303,"Oh well, you lil stupid ass bitch I don't fuck with Youuuuuu Idfwu is a bitter ass song and only fuck niggas like it."
2395, &# ; I know! It was that dana whore. If I get rid of them rn will you donate one to me&# ; that bitch &# ;
16167, and I are on our way to fuck your bitch
7894," Ha bitch, I'm pickin' up beach babes left n right on the West Coast "
6447,"Chasing these hoes, better get cash nigga"
3178," A lot of ppl look at me like ""who the fuck does this bitch think she is"".... Ms. Goldschmied to you"
3755,Cheated my way to get? Hahaha this bitch funny if youre so worried about me then stop subtweeting me dumb ass
16024,Cheer up Charlie.
15572, I know cunt nugget &# ;&# ;
2821, You're still a pussy 
1980,Date a thug because you know they won't pussy out when it comes to defending you. #felonsplease
1603,The chinks really hunting their food... Dog shot with arrow in N.O. East- 
1939,&# ; hahaha! She to much of a thottie for you!&# ; Never fear Captain Save-A-Thot is here to save that hoe &# ;
6911, LMAO bruh Oooooo let me find a shooting star so I could wish a bitch would 
4074,This nigguh got somebody contact as Ebola lol
