,text
4603, hells yeah fuckin sick ass bitch
922, I'm not sexist but why are there girls in the weight room. % no way
1698,I gotta get it while da gettin good my nigguh
2768,People hate on da rig life but I love my baby more then a pussy ass nigguh
10435," The peaceful Q verses are pre Medina, Mecca verses when Mohammed had little power and was endangered."
2222, and bullying? I didn't know u could bully over the internet?? And the bitch came at me so idk why u in my mentions bruh
9239,"~~Ruffled | Ntac Eileen Dahlia - Beautiful color combination of pink, orange, yellow &amp; white. A Coll "
9618, hear that you dumb bitch he said no one likes you!!!!! #ohshitnigga
3163,I wish didnt block me long ago for calling him a pussy so I could call him a pussy again and get blocked a second time.
2220," But yall make the MUTUAL DECISION to have sex on the first date, but she's trash? What kind of math??"
2526,Great lead battle and then Ricky hits Danica for a yellow. Oh boy. #NASCAR
8833,Can't stand a bitch that always feels the need to be doing somethin. Sit your ass at home and be bored you ain't gotta be a hoe all the time
10091, The Prophet Mohammed beheaded Jews for not being loyal to him. And all the Muslims love Mohammed. So what's the problem?
3937,Get your weak ass juco highlights off twitter hoe
18827,These UT hoes be goin !!!!!!
1981," "" "" &# ; Gummy worms? ............"" that bitch is a beast"
2872, And if you looking for my I'll be on these bitches mind
6849," Yes, if we just sit on our butts and let them murder and enslave Ezidis and Christians, ..."
1776, @ me hoe
6592,dad isn't your name faggots a little more fitting.
275, it totally does. smells like brownies every day i walk to work.
4277,Produced by yung &# ;&# ; Bouta drop dis hoe 
3134," Fuck bitches, get re-elected #TeamJFK"
2089,respect the birds. peace in pieces.
2672, Bitch pussy
4846,Mannnnnn these hoes aint loyal
3866, In fact many Muslim countries have the same odious laws as Daesh. This shows sex slaves are approved in KSA. 
10766, pussy
9909, Straight off the bench #ned #WorldCup 
10457, so wtf u tryna do bitch?
895," "" Me and my grandma got to tweakin hoe turnt"
9146, bitch I'll fuck you up
3698, naw hoe let me see if you got Keisha
8793,Winter weather gon have a niggah in his feelings &# ;&# ;&# ;&# ;&# ; .
7920,"""Twitter is twitter"" bitch twitter is life"
4769,Knock em down wit sum chunky &# ;&# ;
3622, #ISIS #Islam PC Puzzle: Converting to a religion of peace leading to violence? 
3859, bitch im real nigga the fuck u mean weak ass nigga i do me i dont pretend to be someone im not so u can shut that shit up fuk boy
3129, Mariners said moms and over get free ball caps on mothers day. Basically all you young hoes with kids don't get one lol
7977, thirsty hoe
3326, Another barbaric aspect of Islam is to murder people for the way they were born.
18446, Lebron your still a bitch you suck nigger hope you die
1663, fag
4497,Oh my. There was an Oreo baked into that chocolate chip cookie. #surprise
4705,&# ; Nobody cares about KIRK Bosley no&# ;I care bout my cousin hoe
2420,Super handsome guys can literally be broke af with no career and some horny bitch will support him into bankruptcy lol
20181," with your height, yeah. Chunky bitch"
2335,So some bitch flipped me off for letting her infront of mee... Okay.
20151,Self-awareness at critically low levels im not sexist but some bitches are dumb
2294,Johnny Rebel - Quit your bitchin' nigger!: 
4278,But staying up gon be a bitch.
7195,"Kat the Villian, but pulling off that red dress. #mkr "
1221,"Not ALL females constantly tweet about their boyfriends but I wish death on the ones that do. TIRED of you AND him, bitch"
333, S/O to them side hos that know they the side hos we need more of ya!
1701,want to catch my attention niggah throw up a dolla sign
18521, by not being an unloyal retard
5972,*live ... lol what's wrong with these bitches man 
11677,LMAO You a bitch. And Rihanna always gonna be badder than Kamehameha. 
10587, when u and ur boys discover a hoe 
1001,This work shit for the birds....ion think it take hours to do nothing....
1218, why would a white man even go to a nigger hell hole of Detroit? An I've worked in A town how. Y'all good niggers!
4528,Oh my god oh my god.. I'm going to a bitch mob party today oh my god
20003," The fuck? I asked this bitch if she was having a good day, and the bitch said ""stop being weird"" im conf&# ;"
8356,You can expect me to be a total bitch towards you now yet again.
1630, My ex told me once she wanted me to get her a gift that would take her breath away so I got that bitch a treadmill
7701, lol im off this brooo. bitches janky. &# ;&# ;&# ;
3856,aint nuthin retarded bout Gucci but this gold rolex
18384, a metaphor here somewhere.
6868," yes now get off twitter, you lame negros should have never learned how to use the Internet"
268,That's right I'm making brownies right now &# ;&# ;
3103,women hate hoes becuz they fuckin up the economy
4128," HOW CAN YOU PROTEST OVER A CARTOON, SILENCE OVER CHILD RAPE PAEDOPHILES? "
50,"Wow , that's a stupid bitch &# ;&# ;"
18226,"Valentine's Day is great and all, but I'm holding out my real enthusiasm for Love Day: "
2017," Yeah, I read that. And every verse of the Tao Te Ching is superior to every verse of the Quran. So Quran is fraud."
128,"I'm starting to not like meek, this nig a lil to arrogant for me"
480,so cold ma nig
4277," Just like ""FAT CHICKS NEED LOVE TOO"" I guess. Some Jeffrey Dommer Type would be all over that sloppy ho."
2029, I popped a Molly every day last year #beat#that#bitch
2159," Our political leaders are worried about offending peoples feelings. As a result, innocent people have died! #Islam #Pa..."
7492, Godiva Chocolate Dipped Oreos &# ; 
7862, I rather my girl be clingy than a hoe
8411, DeJ Loaf is trash. Pure trash.
3414,". You never Googled ""financial abortion"" OR you are too dumb to comprehend otherwise you would NOT ask what you did. Which?"
20182, update: u are still a bitch
168,No girls no hoes just me myself and I
6341, I hate that shit. Like bitch don't ask me for shit makin me waste my time and your dumb ass ain't even using it.
20104,Forgot how good I am at NHL . Too bad is a pussy and wont buy it. Scared to get fuckin scraped.
2488,This bitch looks like a tranny tho.
4940, I don't think women can make tough military decisions. Notice Hilary's face during the Bin Laden raid h...
3499,not even sorry lmao growing up not having shit and STILL having to work for shit i deserve and seeing bitches get whatever pisses me off
1703,"Hello American people, my name is Eric Cantor and I am a lying piece of bird poo "
3527, when ur with ur friend and a bitch u both hate walks past us as n&# ;
2413,I hate when cute ass girls have wack af boyfriends like bitch youre settlling. Quit your settling and be with a real nigga
4309, right &# ;&# ; okay bitch
4138," Working theory: This ""selective race"" abortion ban passed in Florida today was just an excuse for redneck reps to say ..."
1280,bitches be hating &# ;&# ;
3311, Do you think the guinea pig was okay? :(
19620,this is why i love birds. 
1713,Here this bitch go ... Lol
3859, Feel free to research it. They intentionally conflate feminism w/ the Women's Rights Movement.
1921,"If you a bad bitch, put ya hands up high"
1454," She doesn't know cuz, ""Math is hard"" but, some Gende..."
7050,Alibaba / Jack Ma: Gotta love a guy who beat Meg Whitman's albino ass back to the US. Freakin' commie genius.
4528, you far asf too nigguh
4640,"cut up porkchop, canned pinto beans, a small can of carrots, can of corn, celery, a potato. cayenne powder + crushed red pepper"
404,These niggas run they mouth like bitches
3875, And for people who are not people of the book you guarantee them death or slavery.
682," Yall act like your pussy did something magical because a nigga suddenly didn't pull out. Naw, he just didn't pull out,&# ;"
1196,RT I'm not sexist but I'm starting to think women cant drive/maneuver/operate anything with wheels over lbs
2832, Yung berg did a bitch move &# ;&# ;
11107,Left a nice little message in his inbox so he deleted the comment where he called me a bitch &# ; these&# ; 
8103,Ummm...so the Happy Fairy apparently took a crap on my twitter and made it all...happy.
2350, hell naw he ain't he the star of that team lol but I'm sure that white honkey called him a nigga
4222," Prime suspect of #Foley murder is y/o British Jihadi who, wait for it ... ""declared his allegiance to Anonymous'"" "
8907,Hayfever is a cunt
6793,lrt I just did im saddened bc she been tweeting like a hoe
19598,sexy ass bitch eating a fry 
9034,"Search the terms ""Obama"" and ""Twinkie"" and get a bunch of people rehashing the same handful of jokes while having no idea why Hostess failed"
9105,"Tonight's #MKR confirms the casting people trawl the dark depths of the seriously delusional, the supremely misguided &amp; plain rotten cooks."
722," A hoe only cares about the now, the future is irrelevant."
3123,This my bitch please face 
9942, Bad bitch give me head like lice .
3817,Do I have news for you! I am not sexist but some women make me want to be.
10161, Eating pussy is good....eating everybody pussy ain't healthy
11439,"Sumn wrong wit da pussy, een tho I ain't gonn hit it Ima still make sure dat she gushy"
3710,"""I found a new way to chug you have to open your mouth alot"" #shitallysays"
18581, thx hoe
18168, nick background my nigger
2655, Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!
10769,Am I the only person that feels disrespected by the bird poop suddenly dropping on your front window:(ewww#annoying
10724,People calling and complaining to Spinellis because of our Purge special. Lmao pussies. #LouisvillePurge
9018,Not true Every man has hoes #bye
3183,"&# ; I hope my future wife, who ever she might be, is sleeping or studying instead if being a hoe right now&# ; nigga shutcho asss up"
4029," Yeah, this is bad. They should take ISIS example, put them in a cage and torch them all."
11630,"And for dessert, a dropped pie -like Katie's face #mkr #MKR"
67, it's okay I'll get bitches on this dick anyway but thanks for the tip
19097,"Fuck you, hoe ass nigga RT The white-fronted parrot is the only other species besides humans that French kiss as a prelude to sex."
2588,Racist blacks have shot two police officers and a year old in #Ferguson.
1556, cookies sound wonderful.
4196,I look better on your bitch than her outfit on my floor #myboy
1259,"JUST FELT THE NEED EXPRESS THIS SOME REASON Don't get me wrong I'm not sexist, but seeing female engineers on site is weird"
1179, Commie &amp;# ; Mints RT F# this faggot commie 
2817, Call me sexist or whatever it is but there's a BIG difference guys and girls there is no equality in ability in general
636, granted cracker isn't that bad because when you say that to a white person your saying their one of the slave
1110, Damn Rico ass hit that hoe on point &# ;&# ;&# ;
29, How bout some of you bitches be women for Halloween.
2754," Mohammed had people,who disagreed with him murdered. ISIS murders the same."
5789, The voted to prevent the Muslims genocide of Israel.
191, Who would that be?
20138,The moment when you truly believe ur a fucking pice of trash it's a lovely felling ...
8695,Broke bitches make me sick
2143,"Ya bitch aint bad nigga, u aint got no taste"
3001," Yes, that is why Mohammed called blacks ""rasin heads""."
4864,&# ; bitches giving back rubs ?
11736,She doesn't give a shit what you think. STAGGERING This girl across from me has a jungle on each leg #Pleaseshave #NotSexist
4404,All these break ups gon be a crazy hoe free agency this summer #DOYOURGOOGLES
3310," His do not, until playoffs. But luckily, this means that any future kid will definitely root for the Yanks. #priorities"
1722,"Basically, so...just do you. *shrugs* So if you're worried about being a ho or looking like one, good luck."
19591," A hoes favorite line is, ""Don't judge me, you don't know what I been through!"" Yeah I do... a lot of dick."
5516," my momma saw how the girls danced and was like &# ;grandma was like ""shake that ass hoe"""
2378, Yung nation- riot . Still bump that hoe
6893,Wet bitches 
8074," If you open a cold beer and it becomes warm before you finish it, you're a bitch."
3514,Nigga... lol IDK ..Elway trying to snatch everybody! Come on redskins shitttt go sign revis idk what he want lls
4825," ""the stupidest bitch"" brb crying he called me stupid"
9663,I ain't got no hoes&# ;&# ;
