i	pred
34243	0
30593	0
31427	1
31694	1
31865	0
33586	1
34192	1
30879	1
30910	1
30038	0
31258	1
33493	1
34460	1
32884	1
31297	0
33903	0
33323	0
34415	0
33873	0
32276	1
30100	1
32958	0
32754	0
32349	0
32663	0
32060	1
31043	0
30367	0
34591	1
32053	0
31770	0
32886	1
30914	1
32593	0
31559	1
33902	1
31900	1
33469	1
34329	0
32719	0
31801	1
32862	0
33428	1
33249	0
33539	1
31548	1
31299	1
30729	0
33096	1
31719	1
31266	1
32310	0
31948	1
32597	0
30321	0
30571	1
31802	1
30401	0
33063	0
31662	1
33279	0
31201	0
31029	0
31860	1
30986	1
32220	0
30216	1
30963	1
32901	1
30969	0
30293	0
33273	1
33612	1
32642	1
32253	0
32122	1
30738	0
30597	1
34182	0
33247	1
31115	1
30426	0
32609	1
32786	1
30174	1
30968	1
31600	0
31024	1
32415	1
30663	1
30608	1
33828	1
33771	0
33602	1
33981	0
33932	0
30627	0
32716	0
33193	0
30648	1
32526	1
34240	1
31207	0
30341	0
32566	0
34466	0
32191	0
30764	1
33482	1
32863	0
33991	1
31643	1
32083	1
32361	1
34358	1
30218	0
30751	1
30776	0
33123	1
32666	0
33962	1
30552	1
34088	1
32765	0
32604	1
34570	0
31992	1
34214	1
31026	0
30330	0
30357	0
30950	1
31451	1
30424	0
33525	1
30373	1
30064	1
32537	0
30558	0
31108	0
33935	0
31420	1
32103	0
33812	0
30395	1
31475	1
33216	1
30647	1
31745	0
32408	1
33930	0
31398	0
33854	1
34433	1
33794	1
33444	1
31842	1
31669	0
31461	0
32211	1
32985	0
34528	0
34296	1
33939	0
32078	0
31703	0
31012	0
31613	1
30410	0
34374	0
33695	1
30443	1
30882	0
33850	0
30852	1
30850	1
33425	1
30036	1
30677	0
32590	1
33537	1
31391	1
34354	1
34287	1
34206	0
32686	1
33884	1
33769	0
30919	0
33422	0
33390	1
32960	1
31789	0
30033	0
31983	0
32556	0
31487	0
34473	0
33851	0
32879	1
34328	1
30173	1
33014	1
31502	0
34568	1
32529	1
33380	1
33714	1
30614	1
32387	0
32899	1
31045	1
31373	0
31590	1
30082	1
34207	1
30042	1
30563	1
30097	0
31481	1
32594	0
33086	0
33593	1
31998	0
33395	0
32751	0
30953	0
32409	1
34388	1
33589	0
31101	1
33308	0
34136	1
33751	0
30160	0
34164	0
31387	0
30744	0
30883	0
31630	1
31793	1
31578	1
31978	1
33506	1
30768	0
34588	1
34010	1
34443	1
32096	0
32340	1
31575	0
30079	0
31955	0
30187	1
34292	1
32700	1
30717	1
31587	0
31332	1
34231	0
33978	0
30542	0
34058	0
31303	1
31056	1
34109	0
32308	1
31924	1
33816	1
30912	1
30365	0
31099	1
30810	1
34085	1
30601	0
34073	0
32176	1
33401	1
33035	1
33144	1
32172	1
31904	0
32701	1
32081	1
31980	0
30476	1
31364	0
31830	0
31976	1
34510	0
32822	0
31746	1
30453	1
32134	1
32363	1
32084	0
32544	1
30759	0
32976	0
31442	1
30156	0
32777	0
33206	0
31205	1
33875	1
30015	0
33054	0
30223	1
30088	1
33028	1
32014	0
34227	1
31765	0
32036	1
31512	0
33825	1
30713	1
31243	0
32682	1
33492	0
31749	1
31319	1
33120	0
33970	0
33575	1
32571	0
30087	0
31393	1
33252	1
31808	0
33473	1
30381	1
33803	1
31543	1
30363	1
32824	1
33418	1
30349	1
32760	0
33555	1
34442	0
32889	1
33475	0
31920	1
34436	0
31704	1
30217	1
33109	1
30147	0
33341	1
30289	1
30280	0
33716	0
34261	1
30139	1
30008	0
34468	0
34355	0
31680	1
32186	1
30045	0
33982	0
33948	1
30927	1
34096	1
33951	1
30862	1
30308	1
31363	1
31647	1
34375	0
32286	0
32678	0
30978	0
30360	0
30904	1
34398	0
32888	1
33176	1
30581	1
34513	0
32943	1
31122	1
32577	0
34076	1
31424	0
30703	0
33547	1
30127	1
31973	1
32448	1
30007	0
34386	1
32880	1
33758	1
32101	0
32967	1
31040	1
32705	0
32337	1
30077	0
31008	0
32962	0
33399	1
32532	1
32714	1
33585	1
31041	0
30771	0
32420	0
31114	0
30606	0
33181	1
32137	1
30676	1
33918	1
31273	1
31752	1
31656	1
31233	0
31027	0
31023	0
31550	0
31939	1
33702	0
33961	1
34238	1
33837	0
30682	1
30125	1
33080	0
32685	1
32573	1
32687	0
30688	1
33335	0
31872	1
33672	0
30782	0
33229	0
33320	1
32536	1
33204	0
31988	1
31952	1
31342	0
32394	0
33715	1
34326	0
33389	1
30590	1
34407	1
30329	1
30798	1
30680	1
33692	1
32281	1
33995	1
31212	0
32208	0
32927	1
30930	0
34151	0
33954	1
32972	1
30275	0
32860	0
31707	0
33728	1
31894	1
30739	1
32753	1
33034	1
30072	1
30114	0
30519	1
33439	0
31165	0
31892	1
30807	1
33565	1
31453	1
31943	0
30567	1
30319	1
33835	1
30619	1
32557	0
33670	1
30492	1
32388	1
30835	0
30110	1
30610	0
32221	1
32580	1
32378	1
30207	1
34401	1
30441	1
31369	1
32309	1
31853	0
33610	1
32864	1
33357	1
30157	1
33393	1
34101	1
34492	1
34502	1
30849	1
32873	1
32659	1
30990	1
34574	1
33417	0
32274	1
33529	0
33246	0
34484	1
32371	1
31828	1
32386	1
30566	1
34553	1
34278	1
31845	0
31999	0
34418	1
30474	1
31197	0
31748	1
32903	1
31279	1
33250	1
31523	1
33724	1
33355	1
31052	0
30820	1
34137	1
30482	1
30839	0
30336	1
31074	1
33971	1
31864	0
32974	1
34093	1
34434	0
32646	0
32675	0
30875	0
32812	1
33480	1
32147	0
30568	1
30725	1
32784	1
33811	1
31191	1
32275	0
34462	0
34150	0
32799	1
30449	1
34171	1
32500	1
33805	1
34563	1
31598	1
31619	0
31549	0
32720	1
34353	0
30248	1
30220	0
31959	0
30766	1
33024	1
32959	0
33821	1
31349	1
30970	0
34026	0
32359	0
34145	1
34172	1
33844	0
34416	0
32896	1
33363	1
30973	1
32261	1
34481	1
30240	0
33359	0
31304	1
30696	0
32865	0
32893	0
31691	1
31113	1
32512	1
31889	1
34055	1
31385	1
34595	1
30846	0
34242	0
31524	1
33505	0
30505	1
30960	1
30461	0
32024	1
31605	0
34248	0
33801	1
31651	0
34512	0
32256	0
31208	0
32162	1
30197	0
30644	1
31169	1
33757	1
31563	0
34458	0
33846	0
30728	1
33478	1
31275	0
31546	1
32417	1
31706	1
34139	1
32065	1
33146	1
30983	1
32908	1
31803	1
31990	1
32183	1
30989	1
34131	1
31038	0
30133	1
33450	1
31265	1
33263	0
34579	1
31818	1
32459	0
33707	1
34550	0
30377	0
32243	0
30528	1
32511	1
33703	1
32207	0
30099	0
30819	0
31809	1
30834	0
32035	0
34033	1
31981	0
33907	1
31509	1
34271	1
32488	0
30544	1
30047	0
34565	1
31951	1
33550	1
32338	0
32988	1
30032	0
34448	1
32068	0
33618	0
34017	1
33377	0
30169	1
34118	1
31760	1
32059	1
34232	1
32764	1
32111	1
32204	1
31968	1
33600	1
33342	1
32288	0
33711	1
34177	1
32058	0
33172	0
32246	0
31362	0
30238	1
33207	0
31392	1
31626	1
32915	0
33360	1
30767	1
33157	0
31448	1
30366	0
31714	1
34429	0
31401	0
30291	1
34349	0
30556	0
34041	1
34496	0
34582	1
34525	1
31886	1
32965	1
32689	1
31493	0
31588	0
33886	1
30720	1
30439	1
31985	0
32507	1
32809	0
30787	1
31386	1
31244	0
31063	1
33237	1
30881	0
31488	0
30716	1
31188	0
31160	0
30412	0
31376	0
33352	0
32670	0
31274	0
30861	1
34509	0
30361	0
31648	0
30109	1
32560	0
33175	0
30213	0
30541	0
31382	0
32212	0
31528	0
34023	0
